Unnamed: 0,Title,Price,Area,Category,Size,Bedrooms,Bathrooms,Price_Category,Price_per_sqft
362,"公寓出售！Desa Tun Razak for sale, Bandar Tasik Selatan",200000,BANDAR TASIK SELATAN,Apartments,667,2,1,Low,299.85007496251876
363,Pangsapuri bandar tasik selatan,210000,BANDAR TASIK SELATAN,Apartments,650,3,2,Low,323.0769230769231
364,"BEST INVESTMENT🔥Tasik Heights Apartment, Bandar Tasik Selatan KL",290000,BANDAR TASIK SELATAN,Apartments,854,3,2,Low,339.57845433255267
365,"Tasik Height Apartment, Bandar Tasik Selatan Near TBS Level 2 Non Bumi",290000,BANDAR TASIK SELATAN,Apartments,854,3,2,Low,339.57845433255267
366,"[LEVEL 1]Tasik Heights Apartment, Bandar Tasik Selatan, KL",290000,BANDAR TASIK SELATAN,Apartments,854,3,2,Low,339.57845433255267
367,[ TINGKAT 3 + CORNER ] Pangsapuri Kos Rendah Bandar Tasik Selatan,225000,BANDAR TASIK SELATAN,Apartments,650,3,2,Low,346.15384615384613
368,[ full loan ] tasik heights apartment,260000,BANDAR TASIK SELATAN,Apartments,854,3,2,Low,304.4496487119438
369,(Corner lot) Pangsapuri bandar tasik selatan view playground,210000,BANDAR TASIK SELATAN,Apartments,650,3,2,Low,323.0769230769231
370,[unit cantik 5min ke bandar tasik selatan] apt desa tun razak kl,190000,BANDAR TASIK SELATAN,Apartments,668,2,1,Low,284.4311377245509
371,"(HANYA 7 MIN KE TBS) Apartment Desa Tasik Sungai Besi, Kuala Lumpur",280000,BANDAR TASIK SELATAN,Apartments,880,3,2,Low,318.1818181818182
372,"Apartment Desa Tasik 6A , Nice Location , Nice Unit , BTS KL",238000,BANDAR TASIK SELATAN,Apartments,730,3,2,Low,326.027397260274
373,HUKM LRT 2 PARKING The Holmes 2 Condominium Cheras 1104 sqft,460000,BANDAR TASIK SELATAN,Apartments,1104,3,2,Low,416.6666666666667
