Title,Price,Area,Category,Size,Bedrooms,Bathrooms
Corner Unit Luxury Condo The Elements Ampang,900000,AMPANG,Apartments,1572 sq.ft.,4 Bedrooms,3 Bathrooms
"Fully furnished m-suite, kuala lumpur",565000,AMPANG,Apartments,502 sq.ft.,1 Bedroom,1 Bathroom
"M City Serviced Residence Jalan Ampang , Ampang Hilir",690000,AMPANG,Apartments,886 sq.ft.,2 Bedrooms,2 Bathrooms
Awesome Flat For Sales Grab IT Cahaya Flat,150000,AMPANG,Apartments,700 sq.ft.,2 Bedrooms,2 Bathrooms
[Below Market 34%] Duplex M City Jalan Ampang 1041sf Ampang Hilir,496000,AMPANG,Apartments,1041 sq.ft.,2 Bedrooms,2 Bathrooms
[Below Market 44%] Astoria Ampang 747sf,392000,AMPANG,Apartments,747 sq.ft.,2 Bedrooms,2 Bathrooms
FREEHOLD | GCB Court Condo | 1925sqft | Non Bumi | BELOW PRICE,620000,AMPANG,Apartments,1925 sq.ft.,4 Bedrooms,3 Bathrooms
TERMURAH LEVEL 1 Pangsapuri PKNS Ampang Jaya Jalan 4M,235000,AMPANG,Apartments,755 sq.ft.,3 Bedrooms,2 Bathrooms
"(LEVEL 1)HOT UNIT Pandan Lake View Apartment, Pandan Perdana Ampang KL",310000,AMPANG,Apartments,856 sq.ft.,3 Bedrooms,2 Bathrooms
BELOW MV MURAH Menara Polo Desa Pandan Kuala Lumpur Jom View,455000,AMPANG,Apartments,1485 sq.ft.,3 Bedrooms,2 Bathrooms
Suria Jelatek Residence - 1420sf - Near LRT - Limited unit Ampang,600000,AMPANG,Apartments,1420 sq.ft.,3 Bedrooms,2 Bathrooms
RENOVATED 1089 SQFT Suria Jelatek Residence Jalan Jelatek Kuala Lumpur,530000,AMPANG,Apartments,1089 sq.ft.,3 Bedrooms,2 Bathrooms
"Suria Jelatek Residence, Jalan Jelatek, Kuala Lumpur",530000,AMPANG,Apartments,1089 sq.ft.,3 Bedrooms,2 Bathrooms
"[GROUND FLOOR] Desa Pandan ,Baiduri, Maluri, Ampang, [MURAH MURAH]",282000,AMPANG,Apartments,716 sq.ft.,3 Bedrooms,2 Bathrooms
"Arte Plus, Ampang Kuala Lumpur",538000,AMPANG,Apartments,786 sq.ft.,2 Bedrooms,2 Bathrooms
"[SPACIOUS LUXURY CONDO] Rimbun Embassy Row, Ampang Hilir - 4412sqft",5603240,AMPANG,Apartments,4412 sq.ft.,5 Bedrooms,6 Bathrooms
Madge Mansions Condominium Taman U-Thant KL with Private Lift Lobby,10500000,AMPANG,Apartments,7825 sq.ft.,5 Bedrooms,5 Bathrooms
"[FULLY FURNISHED] Rimbun Embassy Row, Ampang Hilir, KL -3551sqft",6500000,AMPANG,Apartments,3551 sq.ft.,4 Bedrooms,5 Bathrooms
"Rimbun Luxury Triplex Penthouse, Ampang Hilir, KL [Spacious Unit]",25000000,AMPANG,Apartments,17000 sq.ft.,8 Bedrooms,10 Bathrooms
[FULLY FURNISHED] Duplex Condominium TARA33 Ampang Hilir,3250000,AMPANG,Apartments,4715 sq.ft.,6 Bedrooms,6 Bathrooms
"[SPACIOUS UNIT] Rimbun Embassy Row, Ampang Hilir, KL - 4412sqft",7500000,AMPANG,Apartments,4412 sq.ft.,5 Bedrooms,6 Bathrooms
Metro Villa Ground Floor Apartment for Sale,298000,AMPANG,Apartments,960 sq.ft.,3 Bedrooms,2 Bathrooms
"RENOVATED, 1089sqft | Suria Jelatek Residence",530000,AMPANG,Apartments,1089 sq.ft.,3 Bedrooms,2 Bathrooms
CHEAPEAST | RENOVATED | Sri Angsana Hilir Condominium Ampang Hilir,298000,AMPANG,Apartments,1349 sq.ft.,3 Bedrooms,2 Bathrooms
"Suria Jelatek Residence , Ampang Hilir, BELOW MARKET PRICE, near LRT",395000,AMPANG,Apartments,908 sq.ft.,3 Bedrooms,2 Bathrooms
[below market 50k]liberty arc brand new condo high rental yield kl,279000,AMPANG,Apartments,452 sq.ft.,1 Bedroom,1 Bathroom
"(Full Loan) One Ampang Avenue Eastside, 1280sf with Balcony",450000,AMPANG,Apartments,1280 sq.ft.,3 Bedrooms,2 Bathrooms
"M city Ampang, Jalan Ampang Hilir, 2ROOM, Nice fully furnished",900000,AMPANG,Apartments,878 sq.ft.,2 Bedrooms,2 Bathrooms
