area,building_type,building_nature,num_bath_rooms,num_bed_rooms,price,property_url,purpose,city,locality,address,id,relaxation_amenity_count,security_amenity_count,maintenance_or_cleaning_amenity_count,social_amenity_count,expendable_amenity_count,service_staff_amenity_count,unclassify_amenity_count,division,zone,price_per_sqft
1450.0,Apartment,Residential,3.0,3.0,13400000.0,https://www.bproperty.com/en/property/details-1934206.html,Sale,Dhaka,Mohammadpur,Unknown,bproperty-8266,1,1,2,1,5,3,4,Dhaka,Mohammadpur,9241.379310344828
1851.0,Apartment,Residential,4.0,3.0,13899999.999999998,https://www.bproperty.com/en/property/details-1934150.html,Sale,Dhaka,Bashundhara R-A,Block E,bproperty-8267,3,2,3,1,4,3,4,Dhaka,Bashundhara R/A,7509.454349000539
850.0,Apartment,Residential,2.0,2.0,3300000.0,https://www.bproperty.com/en/property/details-1934691.html,Sale,Dhaka,Mirpur,"Block C, Eastern Housing, Pallabi",bproperty-8268,1,1,1,5,2,3,3,Dhaka,Mirpur,3882.352941176471
850.0,Apartment,Residential,2.0,2.0,3300000.0,https://www.bproperty.com/en/property/details-1934699.html,Sale,Dhaka,Mirpur,"Block C, Eastern Housing, Pallabi",bproperty-8269,1,1,1,1,2,2,3,Dhaka,Mirpur,3882.352941176471
1400.0,Apartment,Residential,3.0,3.0,8000000.0,https://www.bproperty.com/en/property/details-1935489.html,Sale,Dhaka,Mirpur,"Eastern Pallabi, Pallabi",bproperty-8270,1,1,1,4,3,1,3,Dhaka,Mirpur,5714.285714285715
1850.0,Apartment,Residential,3.0,3.0,9800000.0,https://www.bproperty.com/en/property/details-1935491.html,Sale,Dhaka,Mirpur,"Eastern Pallabi, Pallabi",bproperty-8271,1,1,1,3,3,1,3,Dhaka,Mirpur,5297.2972972972975
1450.0,Apartment,Residential,4.0,3.0,11000000.0,https://www.bproperty.com/en/property/details-1950556.html,Sale,Dhaka,Bashundhara R-A,Block F,bproperty-8272,1,2,3,2,4,3,4,Dhaka,Bashundhara R/A,7586.206896551724
1420.0,Apartment,Residential,3.0,3.0,8200000.0,https://www.bproperty.com/en/property/details-1935486.html,Sale,Dhaka,Mirpur,"Eastern Pallabi, Pallabi",bproperty-8273,2,1,1,2,3,3,3,Dhaka,Mirpur,5774.647887323944
1400.0,Apartment,Residential,3.0,3.0,8000000.0,https://www.bproperty.com/en/property/details-1935487.html,Sale,Dhaka,Mirpur,"Eastern Pallabi, Pallabi",bproperty-8274,2,1,1,1,3,3,3,Dhaka,Mirpur,5714.285714285715
1275.0,Apartment,Residential,3.0,3.0,7500000.0,https://www.bproperty.com/en/property/details-1950712.html,Sale,Dhaka,Ibrahimpur,Unknown,bproperty-8275,1,1,2,1,2,1,4,Dhaka,Mirpur,5882.35294117647
1050.0,Apartment,Residential,3.0,3.0,4725000.0,https://www.bproperty.com/en/property/details-1948657.html,Sale,Dhaka,Kachukhet,Unknown,bproperty-8277,1,1,2,1,2,3,4,Dhaka,Mirpur,4500.0
1450.0,Apartment,Residential,3.0,3.0,11000000.0,https://www.bproperty.com/en/property/details-1951445.html,Sale,Dhaka,Adabor,Baitul Aman Housing Society,bproperty-8278,3,1,2,1,2,3,4,Dhaka,Mohammadpur,7586.206896551724
1050.0,Apartment,Residential,3.0,3.0,3750000.0,https://www.bproperty.com/en/property/details-1953815.html,Sale,Dhaka,Ibrahimpur,Unknown,bproperty-8279,1,1,2,1,3,3,4,Dhaka,Mirpur,3571.428571428572
1350.0,Apartment,Residential,2.0,4.0,7425000.0,https://www.bproperty.com/en/property/details-1959375.html,Sale,Dhaka,Agargaon,Unknown,bproperty-8280,1,1,2,1,2,3,3,Dhaka,Sher-E-Bangla Nagar,5500.0
1287.0,Apartment,Residential,3.0,3.0,5791000.0,https://www.bproperty.com/en/property/details-1970258.html,Sale,Dhaka,Ibrahimpur,Unknown,bproperty-8281,1,1,2,1,3,1,4,Dhaka,Mirpur,4499.611499611499
1090.0,Apartment,Residential,3.0,3.0,4578000.0,https://www.bproperty.com/en/property/details-1968723.html,Sale,Dhaka,Ibrahimpur,Unknown,bproperty-8282,1,1,2,2,3,3,4,Dhaka,Mirpur,4200.0
1332.0,Apartment,Residential,3.0,3.0,7326000.000000001,https://www.bproperty.com/en/property/details-1970256.html,Sale,Dhaka,Ibrahimpur,Unknown,bproperty-8283,1,1,2,1,3,2,4,Dhaka,Mirpur,5500.000000000001
1332.0,Apartment,Residential,3.0,3.0,5791000.0,https://www.bproperty.com/en/property/details-1970274.html,Sale,Dhaka,Ibrahimpur,Unknown,bproperty-8284,1,1,2,1,2,1,4,Dhaka,Mirpur,4347.597597597598
2535.0,Apartment,Residential,5.0,4.0,17000000.0,https://www.bproperty.com/en/property/details-1986748.html,Sale,Dhaka,Bashundhara R-A,Block E,bproperty-8285,1,2,2,1,4,2,5,Dhaka,Bashundhara R/A,6706.114398422091
1026.0,Apartment,Residential,3.0,3.0,4309000.0,https://www.bproperty.com/en/property/details-1968648.html,Sale,Dhaka,Ibrahimpur,Unknown,bproperty-8286,1,1,2,1,3,3,4,Dhaka,Mirpur,4199.805068226121
1287.0,Apartment,Residential,3.0,3.0,5791000.0,https://www.bproperty.com/en/property/details-1970298.html,Sale,Dhaka,Ibrahimpur,Unknown,bproperty-8287,1,1,2,1,3,2,4,Dhaka,Mirpur,4499.611499611499
2257.0,Apartment,Residential,5.0,4.0,20500000.0,https://www.bproperty.com/en/property/details-1973883.html,Sale,Dhaka,Bashundhara R-A,Block D,bproperty-8288,1,2,2,2,4,3,5,Dhaka,Bashundhara R/A,9082.853345148427
1445.0,Apartment,Residential,3.0,3.0,6936000.0,https://www.bproperty.com/en/property/details-1984038.html,Sale,Dhaka,Kachukhet,Unknown,bproperty-8289,1,1,2,1,2,3,4,Dhaka,Mirpur,4800.0
1800.0,Apartment,Residential,3.0,3.0,10800000.0,https://www.bproperty.com/en/property/details-1987900.html,Sale,Dhaka,Mirpur,"Block A, Section 10",bproperty-8290,1,2,3,1,2,2,4,Dhaka,Mirpur,6000.0
1538.0,Apartment,Residential,3.0,3.0,13000000.0,https://www.bproperty.com/en/property/details-1988952.html,Sale,Chattogram,15 No. Bagmoniram Ward,"O R Nizam Road Residential Area, Nasirabad",bproperty-8291,1,2,3,1,2,3,5,Chattogram,Chattogram City,8452.535760728219
690.0,Apartment,Residential,2.0,2.0,3000000.0,https://www.bproperty.com/en/property/details-1996291.html,Sale,Dhaka,Mirpur,"Block B, Section 13",bproperty-8292,1,1,1,1,4,2,4,Dhaka,Mirpur,4347.826086956522
1200.0,Apartment,Residential,3.0,3.0,5400000.0,https://www.bproperty.com/en/property/details-1989163.html,Sale,Dhaka,Mirpur,Unknown,bproperty-8293,1,1,2,5,4,3,3,Dhaka,Mirpur,4500.0
1400.0,Apartment,Residential,3.0,3.0,6300000.0,https://www.bproperty.com/en/property/details-1990009.html,Sale,Chattogram,Mohammadpur,Unknown,bproperty-8294,2,1,2,4,1,2,3,Chattogram,Mohammadpur,4500.0
1408.0,Apartment,Residential,3.0,3.0,5632000.0,https://www.bproperty.com/en/property/details-1990015.html,Sale,Chattogram,Mohammadpur,Unknown,bproperty-8295,1,2,1,1,1,2,3,Chattogram,Mohammadpur,4000.0
1687.0,Apartment,Residential,3.0,3.0,7592000.0,https://www.bproperty.com/en/property/details-1996486.html,Sale,Chattogram,Halishahar,"Cepz, Bandartila, 39 No. South Halishahar Ward",bproperty-8296,1,1,1,1,1,3,3,Chattogram,Chattogram City,4500.296384113812
1700.0,Apartment,Residential,3.0,3.0,10500000.0,https://www.bproperty.com/en/property/details-1997644.html,Sale,Dhaka,Banasree,"Block J, South Banasree Project",bproperty-8297,1,1,1,1,3,1,4,Dhaka,Khilgaon,6176.470588235294
1450.0,Apartment,Residential,3.0,3.0,10500000.0,https://www.bproperty.com/en/property/details-1997591.html,Sale,Dhaka,Bashundhara R-A,Block C,bproperty-8298,1,1,1,1,4,2,4,Dhaka,Bashundhara R/A,7241.379310344828
